"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6062920,9651011,"Satellite",4617850,"GPS","3/27/2019 6:00:00",34.1075,60.99433,26,715,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062921,9651011,"Satellite",4617850,"GPS","9/28/2018 10:00:00",39.74767,65.43233,26,337,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062922,9651011,"Satellite",4617850,"GPS","3/26/2019 4:00:00",34.10667,61.00133,26,713,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062924,9651011,"Satellite",4617850,"GPS","11/16/2018 2:00:00",29.69083,61.81117,26,470,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062926,9651011,"Satellite",4617850,"GPS","3/26/2019 14:00:00",34.10567,61.001,26,713,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062927,9651011,"Satellite",4617850,"GPS","8/9/2018 16:00:00",39.75333,65.4085,26,336,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062928,9651011,"Satellite",4617850,"GPS","3/26/2019 10:00:00",34.106,61.00383,26,713,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062929,9651011,"Satellite",4617850,"GPS","3/26/2019 0:00:00",34.10233,61.00133,26,713,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062930,9651011,"Satellite",4617850,"GPS","9/27/2018 10:00:00",39.75517,65.43367,26,347,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062931,9651011,"Satellite",4617850,"GPS","5/6/2019 14:00:00",39.928,64.00617,26,207,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062933,9651011,"Satellite",4617850,"GPS","11/14/2018 8:00:00",29.692,61.81867,26,460,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
