"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6056436,9651010,"Satellite",16211,"GPS","12/30/2018 8:00:00",30.54483,65.12783,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056437,9651010,"Satellite",16211,"GPS","12/7/2019 12:00:00",31.12,64.67617,26,1096,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056438,9651010,"Satellite",16211,"GPS","6/27/2018 8:00:00",39.62167,65.4005,26,296,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056439,9651010,"Satellite",16211,"GPS","10/1/2019 4:00:00",39.62883,65.36383,26,282,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056441,9651010,"Satellite",16211,"GPS","2/6/2019 4:00:00",30.565,65.15033,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056442,9651010,"Satellite",16211,"GPS","12/29/2018 18:00:00",30.54617,65.126,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056444,9651010,"Satellite",16211,"GPS","12/6/2019 6:00:00",31.11867,64.68767,26,1104,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056445,9651010,"Satellite",16211,"GPS","12/30/2018 2:00:00",30.54583,65.12633,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056446,9651010,"Satellite",16211,"GPS","6/27/2018 10:00:00",39.62183,65.401,26,296,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056448,9651010,"Satellite",16211,"GPS","11/23/2018 16:00:00",30.546,64.8765,26,1055,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056449,9651010,"Satellite",16211,"GPS","6/27/2018 20:00:00",39.62717,65.39967,26,288,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056450,9651010,"Satellite",16211,"GPS","9/30/2019 22:00:00",39.63533,65.36417,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056451,9651010,"Satellite",16211,"GPS","2/6/2019 0:00:00",30.56817,65.16117,26,1133,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056452,9651010,"Satellite",16211,"GPS","2/6/2019 2:00:00",30.56483,65.15217,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056453,9651010,"Satellite",16211,"GPS","7/31/2019 0:00:00",39.5585,65.30583,26,273,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056454,9651010,"Satellite",16211,"GPS","4/23/2019 20:00:00",35.17833,60.99817,26,774,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056455,9651010,"Satellite",16211,"GPS","12/6/2019 14:00:00",31.125,64.689,26,1115,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056456,9651010,"Satellite",16211,"GPS","9/30/2019 12:00:00",39.64033,65.36333,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056457,9651010,"Satellite",16211,"GPS","4/23/2019 22:00:00",35.17833,60.99817,26,774,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056461,9651010,"Satellite",16211,"GPS","12/29/2018 8:00:00",30.54217,65.12133,26,1128,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056462,9651010,"Satellite",16211,"GPS","10/27/2018 14:00:00",36.84933,64.11417,26,550,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056463,9651010,"Satellite",16211,"GPS","12/28/2018 22:00:00",30.54467,65.12183,26,1128,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
