"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6067035,9651012,"Satellite",4637296,"GPS","9/27/2018 12:00:00",39.76117,65.37617,26,322,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067037,9651012,"Satellite",4637296,"GPS","5/12/2019 10:00:00",39.99017,65.00083,26,306,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067039,9651012,"Satellite",4637296,"GPS","2/1/2019 16:00:00",36.91017,62.56633,26,327,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067042,9651012,"Satellite",4637296,"GPS","10/3/2019 20:00:00",39.515,65.42233,26,291,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067043,9651012,"Satellite",4637296,"GPS","6/4/2018 4:00:00",39.743,65.38417,26,320,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067044,9651012,"Satellite",4637296,"GPS","9/27/2018 14:00:00",39.75733,65.38633,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067045,9651012,"Satellite",4637296,"GPS","5/12/2019 8:00:00",39.9885,64.99917,26,299,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067046,9651012,"Satellite",4637296,"GPS","12/20/2018 6:00:00",36.9075,62.58183,26,341,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067049,9651012,"Satellite",4637296,"GPS","9/27/2018 6:00:00",39.7625,65.37717,26,322,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067050,9651012,"Satellite",4637296,"GPS","5/11/2019 2:00:00",39.97367,65.00217,26,337,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067054,9651012,"Satellite",4637296,"GPS","8/20/2018 2:00:00",39.73533,65.39967,26,321,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067055,9651012,"Satellite",4637296,"GPS","5/10/2019 22:00:00",39.9755,64.98083,26,287,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067056,9651012,"Satellite",4637296,"GPS","6/24/2019 20:00:00",39.72817,65.13683,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067057,9651012,"Satellite",4637296,"GPS","5/12/2019 12:00:00",39.9865,65,26,306,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
