Ind_ID,Npoints_beforecleaning,Npoints_aftercleaning1,origin,release_date,release_lat,release_lon,Country
4633037,4074,4074,wild,5/12/2016,39.5303,65.4173,Uzbekistan
4633038,2615,2615,wild,5/12/2016,39.58748,65.44987,Uzbekistan
4633039,1872,1872,wild,5/12/2016,39.62609,65.36246,Uzbekistan
4633040,1601,1601,wild,5/13/2016,39.72436,65.3709,Uzbekistan
4633041,9056,9054,wild,5/16/2016,39.85648,65.22548,Uzbekistan
4633043,5214,5214,wild,5/18/2016,39.88995,65.16501,Uzbekistan
4633044,68,68,wild,5/18/2016,39.88724,65.24876,Uzbekistan
4633045,1434,1434,wild,5/18/2016,39.51029,65.26805,Uzbekistan
4633048,1915,1915,wild,5/20/2016,39.65338,65.37907,Uzbekistan
4633049,200,200,wild,5/21/2016,39.65961,65.37736,Uzbekistan
4633050,4165,4165,wild,5/21/2016,39.65961,65.37736,Uzbekistan
4633060,1629,1629,wild,5/24/2016,39.85096,65.20844,Uzbekistan
4633061,1474,1473,wild,5/24/2016,39.85096,65.20844,Uzbekistan
4633062,1931,1931,wild,5/24/2016,39.62165,65.27564,Uzbekistan
4633063,1783,1783,wild,5/24/2016,39.62165,65.27564,Uzbekistan
4633064,2150,2150,wild,5/25/2016,39.82389,65.23939,Uzbekistan
4633065,2157,2157,wild,5/25/2016,39.82389,65.23939,Uzbekistan
4633069,4273,4273,wild,5/25/2016,39.75033,65.3815,Uzbekistan
4633070,1757,1757,wild,5/25/2016,39.61331,65.40679,Uzbekistan
4633071,1056,1056,wild,5/25/2016,39.60649,65.39133,Uzbekistan
4633072,1437,1437,wild,5/26/2016,39.63237,65.23254,Uzbekistan
4633095,1341,1340,wild,5/30/2016,39.63909,65.23489,Uzbekistan
4614079,12330,12330,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614080,125,125,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614081,14032,14031,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614082,227,227,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614083,8272,8272,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614084,213,213,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614085,5970,5970,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614086,2819,2819,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614088,10898,10898,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614089,2430,2430,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614090,2844,2844,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614091,1865,1865,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614092,4530,4530,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614093,63,63,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614094,2728,2728,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614096,17206,17201,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614097,2867,2867,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614098,9608,9608,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614099,21,21,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4614101,8752,8752,captive bred,3/25/2014,39.8104,65.30011,Uzbekistan
4617371,1692,1692,wild,5/13/2014,39.78753,65.32159,Uzbekistan
4617372,5879,5879,wild,5/13/2014,39.78753,65.32159,Uzbekistan
4617537,4689,4689,wild,5/24/2014,39.6821,65.313,Uzbekistan
4617538,24,24,wild,5/27/2014,39.66468,65.18317,Uzbekistan
4617540,2899,2899,wild,5/20/2014,39.58222,65.36554,Uzbekistan
4617541,2234,2234,wild,5/27/2014,39.60632,65.35114,Uzbekistan
4617542,1469,1469,wild,5/14/2014,39.84921,65.203,Uzbekistan
4617547,1728,1728,wild,5/24/2014,39.8904,65.15524,Uzbekistan
4617548,169,169,wild,5/30/2014,39.66361,65.20836,Uzbekistan
4617549,5496,5496,wild,5/30/2014,39.66361,65.20836,Uzbekistan
4617550,10078,10077,wild,5/19/2014,39.92171,65.23041,Uzbekistan
4617551,3777,3777,wild,5/27/2014,39.66468,65.18317,Uzbekistan
4617554,1410,1409,wild,5/22/2014,39.65679,65.58152,Uzbekistan
4617585,4596,4596,wild,5/27/2014,39.67208,65.17149,Uzbekistan
4617587,115,115,wild,5/26/2014,39.86017,65.18965,Uzbekistan
4623642,2818,2818,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623664,1138,1138,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623669,229,229,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623679,2012,2012,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623681,6375,6373,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623682,4629,4629,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623685,3471,3470,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623687,4034,4034,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623688,75,75,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623692,6118,6118,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623693,1425,1425,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623694,159,159,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623699,3,3,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623701,2701,2701,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623702,2126,2126,captive bred,3/22/2015,40.92591,64.89819,Uzbekistan
4623708,1615,1615,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623710,897,897,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623718,12668,12666,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623743,340,340,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623746,4205,4205,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
